Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI
Statewide,Both,AllSite,01yr,4670724,25430,544.45,517.228,571.673,2792442,14492,518.956,493.008,544.903,1522555,7272,477.588,453.709,501.468,232532,1212,521.32,495.254,547.386,91178,477,523.105,496.95,549.261,32017,141,440.162,418.154,462.17
A9010,Both,AllSite,01yr,62464,320,511.892,486.297,537.487,40475,191,472.775,449.136,496.414,17428,81,464.875,441.631,488.119,2581,,,,,1684,,,,,296,,,,
A9013,Both,AllSite,01yr,60946,306,501.559,476.481,526.637,42203,228,541.002,513.952,568.052,12237,65,528.4,501.98,554.82,4788,25,517.156,491.299,543.014,1378,,,,,338,,,,
A9017,Both,AllSite,01yr,62145,284,457.051,434.199,479.904,27674,122,441.415,419.344,463.486,32443,145,447.408,425.038,469.779,1363,,,,,388,,,,,277,,,,
A9020,Both,AllSite,01yr,64933,323,497.991,473.091,522.89,13375,63,473.095,449.44,496.75,49117,251,510.486,484.961,536.01,1482,,,,,724,,,,,236,,,,
A9034,Both,AllSite,01yr,61918,302,487.034,462.682,511.386,35562,169,474.835,451.093,498.577,23579,117,495.628,470.846,520.409,1712,,,,,776,,,,,289,,,,
A9038,Both,AllSite,01yr,64229,338,526.102,499.797,552.407,43588,212,485.322,461.056,509.588,15566,82,525.621,499.34,551.902,3533,17,468.056,444.653,491.459,1239,,,,,305,,,,
Statewide,Female,AllSite,01yr,2386915,9837,412.126,391.52,432.732,1417530,5671,400.04,380.038,420.042,799349,3237,404.938,384.691,425.185,107159,388,361.943,343.846,380.04,46631,205,439.054,417.101,461.006,16246,68,417.935,397.039,438.832
A9010,Female,AllSite,01yr,32771,120,364.839,346.597,383.081,21289,79,370.429,351.908,388.951,9249,36,386.519,367.193,405.845,1210,,,,,855,,,,,167,,,,
A9013,Female,AllSite,01yr,30424,122,401.756,381.669,421.844,21030,94,449.187,426.727,471.646,6277,24,383.718,364.532,402.904,2176,,,,,752,,,,,189,,,,
A9017,Female,AllSite,01yr,31963,144,450.52,427.994,473.046,13855,63,451.213,428.653,473.774,17078,65,383.12,363.964,402.276,656,,,,,229,,,,,145,,,,
A9020,Female,AllSite,01yr,35222,160,454.104,431.399,476.809,6897,27,386.762,367.424,406.1,27117,115,423.373,402.204,444.541,701,,,,,368,,,,,139,,,,
A9034,Female,AllSite,01yr,32042,141,439.892,417.898,461.887,18169,76,419.409,398.438,440.379,12490,53,426.433,405.111,447.754,826,,,,,412,,,,,145,,,,
A9038,Female,AllSite,01yr,32882,124,375.738,356.951,394.525,22015,93,423.322,402.156,444.488,8379,30,356.258,338.445,374.071,1630,,,,,712,,,,,146,,,,
Statewide,Male,AllSite,01yr,2283809,13149,575.751,546.963,604.538,1374912,8216,597.544,567.667,627.422,723206,3912,540.971,513.922,568.019,125373,818,652.485,619.861,685.11,44547,289,649.674,617.19,682.157,15771,98,622.402,591.281,653.522
A9010,Male,AllSite,01yr,29693,198,667.529,634.153,700.906,19186,104,543.727,516.541,570.914,8179,49,597.729,567.843,627.616,1370,,,,,829,,,,,129,,,,
A9013,Male,AllSite,01yr,30522,207,679.769,645.781,713.758,21174,135,639.093,607.139,671.048,5960,38,633.23,601.569,664.892,2612,,,,,626,,,,,150,,,,
A9017,Male,AllSite,01yr,30182,168,556.611,528.78,584.441,13819,73,526.062,499.759,552.365,15365,100,653.49,620.816,686.165,708,,,,,159,,,,,132,,,,
A9020,Male,AllSite,01yr,29712,184,617.883,586.989,648.777,6478,39,601.946,571.849,632.044,22000,145,659.869,626.876,692.863,781,,,,,356,,,,,97,,,,
A9034,Male,AllSite,01yr,29876,177,592.326,562.71,621.943,17393,108,620.144,589.137,651.152,11089,65,587.121,557.765,616.477,887,,,,,364,,,,,144,,,,
A9038,Male,AllSite,01yr,31347,206,655.631,622.85,688.413,21572,132,611.835,581.243,642.426,7187,45,623.896,592.701,655.09,1903,,,,,527,,,,,158,,,,
Statewide,Male,Prostate,01yr,2283809,3307,144.784,137.545,152.023,1374912,2279,165.777,157.488,174.066,723206,1458,201.603,191.523,211.683,125373,192,153.285,145.621,160.949,44547,84,188.951,179.504,198.399,15771,33,211.685,201.1,222.269
A9010,Male,Prostate,01yr,29693,44,149.282,141.818,156.746,19186,39,202.17,192.062,212.279,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Prostate,01yr,30522,43,141.71,134.624,148.795,21174,26,124.941,118.694,131.188,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Prostate,01yr,30182,55,181.293,172.229,190.358,13819,25,183.784,174.595,192.974,15365,30,197.885,187.99,207.779,708,,,,,159,,,,,132,,,,
A9020,Male,Prostate,01yr,29712,39,131.277,124.713,137.841,6478,,,,,22000,29,131.309,124.743,137.874,781,,,,,356,,,,,97,,,,
A9034,Male,Prostate,01yr,29876,62,208.208,197.798,218.619,17393,37,211.656,201.073,222.238,11089,17,157.548,149.671,165.425,887,,,,,364,,,,,144,,,,
A9038,Male,Prostate,01yr,31347,59,189.497,180.022,198.971,21572,40,183.906,174.711,193.101,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Lung,01yr,4670724,3217,68.877,65.433,72.32,2792442,1922,68.815,65.375,72.256,1522555,1230,80.805,76.764,84.845,232532,181,77.898,74.003,81.793,91178,52,57.416,54.545,60.286,32017,17,52.628,49.996,55.259
A9010,Both,Lung,01yr,62464,32,51.327,48.761,53.894,40475,24,58.389,55.469,61.308,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Lung,01yr,60946,37,61.517,58.441,64.592,42203,36,85.426,81.155,89.697,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Lung,01yr,62145,35,56.836,53.994,59.678,27674,19,66.971,63.623,70.32,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Lung,01yr,64933,44,66.998,63.648,70.347,13375,,,,,49117,40,82.432,78.31,86.553,1482,,,,,724,,,,,236,,,,
A9034,Both,Lung,01yr,61918,53,85.595,81.315,89.874,35562,32,88.69,84.256,93.125,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Lung,01yr,64229,37,57.776,54.887,60.665,43588,33,74.607,70.877,78.338,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Lung,01yr,2386915,1105,46.301,43.986,48.616,1417530,696,49.072,46.618,51.525,799349,556,69.51,66.034,72.985,107159,48,44.907,42.661,47.152,46631,24,50.696,48.161,53.231,16246,,,,
A9010,Female,Lung,01yr,32771,19,56.942,54.095,59.789,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Lung,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Lung,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Lung,01yr,35222,,,,,6897,,,,,27117,16,59.631,56.649,62.612,701,,,,,368,,,,,139,,,,
A9034,Female,Lung,01yr,32042,18,54.989,52.239,57.738,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Lung,01yr,32882,16,47.765,45.377,50.154,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Lung,01yr,2283809,2681,117.413,111.543,123.284,1374912,1281,93.206,88.545,97.866,723206,840,116.129,110.323,121.935,125373,114,90.612,86.082,95.143,44547,45,101.195,96.135,106.255,15771,,,,
A9010,Male,Lung,01yr,29693,33,109.626,104.145,115.107,19186,20,105.798,100.508,111.088,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Lung,01yr,30522,35,113.639,107.957,119.321,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Lung,01yr,30182,34,112.059,106.456,117.662,13819,,,,,15365,18,113.907,108.211,119.602,708,,,,,159,,,,,132,,,,
A9020,Male,Lung,01yr,29712,24,79.936,75.939,83.932,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Lung,01yr,29876,26,86.423,82.102,90.744,17393,19,106.771,101.433,112.11,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Lung,01yr,31347,22,69.042,65.59,72.494,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Female,Breast,01yr,2386915,2875,120.432,114.41,126.454,1417530,1465,103.32,98.154,108.486,799349,886,110.817,105.276,116.358,107159,115,107.288,101.923,112.652,46631,61,131.845,125.252,138.437,16246,21,129.226,122.765,135.688
A9010,Female,Breast,01yr,32771,37,112.402,106.782,118.022,21289,24,111.695,106.11,117.279,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Breast,01yr,30424,43,141.995,134.896,149.095,21030,25,120.803,114.763,126.843,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Breast,01yr,31963,38,119.467,113.493,125.44,13855,17,119.238,113.276,125.2,17078,23,133.958,127.26,140.656,656,,,,,229,,,,,145,,,,
A9020,Female,Breast,01yr,35222,41,117.229,111.367,123.09,6897,,,,,27117,33,119.982,113.983,125.981,701,,,,,368,,,,,139,,,,
A9034,Female,Breast,01yr,32042,42,130.03,123.528,136.531,18169,22,122.31,116.195,128.426,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Breast,01yr,32882,44,134.149,127.442,140.857,22015,24,108.345,102.927,113.762,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Both,CRC,01yr,4670724,1783,38.171,36.262,40.079,2792442,1457,52.189,49.58,54.799,1522555,907,59.597,56.618,62.577,232532,120,51.625,49.043,54.206,91178,38,42.056,39.954,44.159,32017,19,59.146,56.189,62.103
A9010,Both,CRC,01yr,62464,28,45.066,42.813,47.319,40475,21,52.366,49.748,54.984,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,CRC,01yr,60946,36,59.78,56.791,62.769,42203,17,39.422,37.451,41.393,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,CRC,01yr,62145,22,35.074,33.32,36.828,27674,16,56.292,53.477,59.107,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,CRC,01yr,64933,37,57.151,54.293,60.008,13375,,,,,49117,19,38.128,36.222,40.034,1482,,,,,724,,,,,236,,,,
