Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI
Statewide,Both,AllSite,05yrs,23126262,516452,446.637,424.305,468.969,13930420,340386,488.694,464.26,513.129,7523094,179777,477.933,454.037,501.83
A9001,Both,AllSite,05yrs,279097,6111,437.906,416.01,459.801,229973,5665,492.685,468.051,517.319,32542,795,488.772,464.334,513.211
A9002,Both,AllSite,05yrs,305865,7856,513.685,488.001,539.369,143779,3611,502.334,477.217,527.45,70310,1898,539.836,512.844,566.828
A9003,Both,AllSite,05yrs,309981,7825,504.897,479.652,530.142,118975,2862,481.192,457.133,505.252,151775,3823,503.713,478.527,528.898
A9004,Both,AllSite,05yrs,324503,7924,488.404,463.984,512.825,149027,3419,458.789,435.85,481.729,160079,3958,494.467,469.743,519.19
A9005,Both,AllSite,05yrs,309704,7664,494.929,470.183,519.676,24606,586,475.942,452.145,499.74,247361,5881,475.496,451.721,499.27
A9006,Both,AllSite,05yrs,294638,6440,437.172,415.313,459.031,178009,4115,462.303,439.187,485.418,98218,2503,509.738,484.251,535.225
A9007,Both,AllSite,05yrs,323260,7644,472.915,449.269,496.561,177729,4347,489.216,464.755,513.677,118633,2824,476.078,452.274,499.882
A9008,Both,AllSite,05yrs,336621,8512,505.717,480.431,531.003,264274,6196,468.874,445.431,492.318,53735,1446,538.078,511.174,564.982
A9009,Both,AllSite,05yrs,309048,7969,515.702,489.917,541.487,195325,5268,539.424,512.453,566.395,98494,2175,441.748,419.661,463.836
A9010,Both,AllSite,05yrs,316394,8587,542.814,515.674,569.955,207391,5530,533.295,506.63,559.96,86956,2244,516.058,490.255,541.861
A9011,Both,AllSite,05yrs,310119,8323,536.749,509.911,563.586,251341,6002,477.612,453.731,501.492,35220,822,466.725,443.389,490.062
A9013,Both,AllSite,05yrs,300620,6582,437.866,415.973,459.76,210982,5023,476.2,452.39,500.01,58714,1506,513.158,487.5,538.816
A9014,Both,AllSite,05yrs,283144,6976,492.747,468.109,517.384,226151,5894,521.235,495.173,547.297,33938,766,451.383,428.814,473.953
A9015,Both,AllSite,05yrs,307158,8164,531.553,504.976,558.131,99120,2292,462.511,439.386,485.637,185556,4954,534.008,507.307,560.708
A9016,Both,AllSite,05yrs,395658,10004,505.668,480.385,530.952,303792,7780,512.196,486.586,537.806,77730,1699,437.06,415.207,458.913
A9017,Both,AllSite,05yrs,314711,7237,459.895,436.9,482.89,138925,3064,441.116,419.06,463.172,166179,4036,485.708,461.422,509.993
A9018,Both,AllSite,05yrs,291492,7891,541.421,514.35,568.492,247071,5857,474.117,450.411,497.823,23593,618,523.683,497.499,549.868
A9019,Both,AllSite,05yrs,329689,8603,521.904,495.809,547.999,132461,3053,460.952,437.904,483.999,128217,3112,485.431,461.159,509.702
A9020,Both,AllSite,05yrs,329288,7501,455.559,432.781,478.337,73493,1648,448.399,425.979,470.819,243898,6542,536.464,509.641,563.287
A9021,Both,AllSite,05yrs,303290,6709,442.42,420.299,464.54,207160,5533,534.21,507.5,560.921,35926,809,450.504,427.979,473.029
A9022,Both,AllSite,05yrs,321131,7888,491.279,466.715,515.843,127324,3319,521.359,495.291,547.427,186212,4692,503.914,478.718,529.109
A9023,Both,AllSite,05yrs,317386,7853,494.867,470.123,519.61,102472,2709,528.756,502.318,555.194,189096,4957,524.28,498.066,550.494
A9024,Both,AllSite,05yrs,306827,6917,450.886,428.342,473.43,114148,2915,510.709,485.174,536.244,163104,4158,509.902,484.407,535.397
A9025,Both,AllSite,05yrs,291306,7394,507.651,482.268,533.033,182928,4874,532.839,506.197,559.481,88238,2058,466.494,443.169,489.819
A9026,Both,AllSite,05yrs,314519,7195,457.533,434.656,480.409,172173,3845,446.629,424.297,468.96,121567,3260,536.273,509.459,563.087
A9027,Both,AllSite,05yrs,276946,7227,521.934,495.837,548.03,198085,4376,441.836,419.745,463.928,46476,1254,539.462,512.489,566.435
A9028,Both,AllSite,05yrs,307245,7990,520.1,494.095,546.105,225182,5245,465.868,442.574,489.161,30191,692,458.183,435.273,481.092
A9029,Both,AllSite,05yrs,313429,8212,524.011,497.811,550.212,280645,7090,505.243,479.981,530.505,17595,456,518.546,492.619,544.474
A9030,Both,AllSite,05yrs,317532,8293,522.349,496.232,548.467,161120,4216,523.337,497.17,549.504,123013,2819,458.354,435.436,481.272
A9031,Both,AllSite,05yrs,279051,7377,528.715,502.279,555.151,226152,5468,483.576,459.397,507.755,32895,844,513.372,487.704,539.041
A9033,Both,AllSite,05yrs,356316,8054,452.073,429.469,474.676,318123,8159,512.917,487.271,538.563,23840,553,463.874,440.68,487.068
A9034,Both,AllSite,05yrs,313318,7996,510.394,484.875,535.914,182547,4368,478.526,454.6,502.452,117246,2667,454.997,432.248,477.747
A9035,Both,AllSite,05yrs,318445,8115,509.675,484.191,535.158,159098,3865,485.907,461.612,510.203,147172,3746,509.047,483.595,534.5
A9036,Both,AllSite,05yrs,328808,8508,517.496,491.622,543.371,232711,5269,452.822,430.181,475.463,74448,1779,477.815,453.924,501.706
A9037,Both,AllSite,05yrs,302294,8207,542.981,515.832,570.13,223980,5227,466.705,443.369,490.04,45682,1194,522.804,496.663,548.944
A9038,Both,AllSite,05yrs,316397,7839,495.54,470.763,520.317,217421,5834,536.651,509.818,563.483,75005,1821,485.549,461.272,509.827
A9039,Both,AllSite,05yrs,324432,8482,522.869,496.725,549.012,234029,5242,448.021,425.62,470.422,63086,1532,485.84,461.548,510.131
A9040,Both,AllSite,05yrs,286766,6861,478.523,454.596,502.449,190264,4789,503.456,478.283,528.629,63049,1426,452.264,429.651,474.877
A9041,Both,AllSite,05yrs,318297,7290,458.065,435.162,480.969,203504,4898,481.403,457.333,505.473,82991,2177,524.628,498.397,550.859
A9042,Both,AllSite,05yrs,317095,7064,445.561,423.283,467.84,150861,3619,479.836,455.844,503.828,113417,2828,498.679,473.745,523.613
A9043,Both,AllSite,05yrs,305510,7407,484.925,460.678,509.171,141494,3419,483.207,459.047,507.367,149182,3336,447.182,424.823,469.541
A9044,Both,AllSite,05yrs,383187,8886,463.777,440.588,486.966,157683,4048,513.395,487.725,539.065,213518,4886,457.628,434.746,480.509
A9045,Both,AllSite,05yrs,319353,8448,529.042,502.59,555.495,72444,1696,468.348,444.931,491.766,221975,5991,539.825,512.834,566.817
