Zone,City
A9001,Lafayette
A9001,Broussard
A9002,Kenner
A9003,Westwego
A9003,Marrero
A9003,Avondale
A9003,Bridge City
A9003,Waggaman
A9004,Alexandria
A9004,Pineville
A9005,New Orleans
A9006,Donaldsonville
A9006,Sorrento
A9006,Gonzales
A9007,New Orleans
A9008,Deville
A9008,Ball
A9008,Forest Hill
A9008,Alexandria
A9008,Pineville
A9008,Woodworth
A9009,Hammond
A9009,Ponchatoula
A9010,Shreveport
A9011,Abita Springs
A9011,Sun
A9011,Slidell
A9011,Pearl River
A9013,Red Chute
A9013,Haughton
A9013,Eastwood
A9013,Bossier City
A9014,Lafayette
A9014,Youngsville
A9014,Milton
A9015,New Orleans
A9016,Monroe
A9016,Claiborne
A9016,Swartz
A9017,Shreveport
A9017,Vivian
A9017,Blanchard
A9018,Mandeville
A9018,Lacombe
A9019,Terrytown
A9019,Gretna
A9020,Shreveport
A9021,Metairie
A9022,Central
A9022,Baker
A9022,Baton Rouge
A9022,Zachary
A9023,New Orleans
A9024,New Orleans
A9025,Lafayette
A9025,Scott
A9025,Ossun
A9026,Baton Rouge
A9027,Gray
A9027,Montegut
A9027,Schriever
A9027,Dulac
A9027,Chauvin
A9027,Houma
A9028,Metairie
A9029,Denham Springs
A9029,Walker
A9030,Central
A9030,Baton Rouge
A9031,Prairieville
A9033,Livingston
A9033,Killian
A9033,Walker
A9034,Shreveport
A9034,Greenwood
A9035,Westlake
A9035,Lake Charles
A9035,Moss Bluff
A9035,Iowa
A9036,Lake Charles
A9036,Prien
A9037,Metairie
A9037,River Ridge
A9037,Elmwood
A9038,Red Chute
A9038,Bossier City
A9039,Slidell
A9039,Eden Isle
A9040,Bayou Cane
A9040,Bourg
A9040,Bayou Blue
A9040,Houma
A9041,Baton Rouge
A9041,Oak Hills Place
A9042,Woodmere
A9042,Grand Isle
A9042,Harvey
A9042,Barataria
A9042,Jean Lafitte
A9042,Lafitte
A9042,Estelle
A9043,Carencro
A9043,Lafayette
A9044,Monroe
A9044,West Monroe
A9044,Brownsville
A9044,Bawcomville
A9045,New Orleans
A9046,Baton Rouge
A9046,Merrydale
A9048,Baton Rouge
A9049,Shenandoah
A9049,Baton Rouge
A9049,Old Jefferson
B0002,Winnfield
B0002,St. Maurice
B0002,Pollock
B0002,Jordan Hill
B0002,Olla
B0002,Rock Hill
B0002,Jena
B0004,Marion
B0004,Lake Providence
B0004,Farmerville
B0004,Bernice
B0004,Bastrop
B0010,Natchitoches
B0010,Martin
B0010,Arcadia
B0010,Ashland
B0010,Mount Lebanon
B0010,Lucky
B0010,Bienville
B0010,Coushatta
B0010,Goldonna
B0011,Moss Bluff
B0011,Cameron
B0011,DeQuincy
B0011,Carlyss
B0011,Sulphur
B0011,Vinton
B0011,Starks
B0011,Hackberry
B0013,Belle Chasse
B0013,Violet
B0013,Chalmette
B0013,Meraux
B0013,Poydras
B0013,Buras
B0013,Port Sulphur
B0013,Triumph
B0013,Boothville
B0013,Empire
B0016,Slaughter
B0016,Jackson
B0016,New Roads
B0016,Norwood
B0019,Minden
B0019,Springhill
B0019,Homer
B0019,Haynesville
B0019,Shongaloo
B0019,Doyline
B0019,Athens
B0019,Dubberly
B0019,Lisbon
B0019,Sibley
B0024,Charenton
B0024,Morgan City
B0024,Baldwin
B0024,Labadieville
B0024,Belle Rose
B0024,Franklin
B0024,Supreme
B0024,Berwick
B0026,Stonewall
B0026,Zwolle
B0026,Fort Jesup
B0026,Logansport
B0026,Keachi
B0026,Many
B0026,Mansfield
B0026,Belmont
B0043,New Iberia
B0044,Center Point
B0044,Bordelonville
B0044,Minorca
B0044,Fifth Ward
B0044,Monterey
B0044,Spokane
B0044,Marksville
B0044,Wallace Ridge
B0047,Delta
B0047,Banks Springs
B0047,Start
B0047,Winnsboro
B0049,Ruston
B0049,Grambling
B0049,Jonesboro
B0049,Choudrant
B0049,Vienna
B0049,Simsboro
B0051,Singer
B0051,Kinder
B0051,Oakdale
B0051,Oberlin
B0051,Jennings
B0051,Merryville
B0051,Welsh
B0051,DeRidder
B0051,Longville
B0058,Choctaw
B0058,Kraemer
B0058,Thibodaux
B0058,Lafourche Crossing
B0058,Chackbay
B0058,Mathews
B0058,Cut Off
B0058,Galliano
B0058,Raceland
B0058,Bayou Blue
B0058,Larose
B0058,Des Allemands
B0059,Catahoula
B0059,Cade
B0059,St. Martinville
B0059,Breaux Bridge
B0066,Opelousas
B0066,Sunset
B0066,Eunice
B0066,Lawtell
B0067,Covington
B0067,Franklinton
B0067,Bogalusa
B0067,Mandeville
B0071,Simpson
B0071,Fort Polk South
B0071,Fort Polk North
B0071,Pitkin
B0071,Leesville
B0072,Destrehan
B0072,Ama
B0072,Bayou Gauche
B0072,Luling
B0072,Paradis
B0072,St. Rose
B0072,Norco
B0072,Taft
B0072,Des Allemands
B0072,Hahnville
B0072,Boutte
B0030,Grand Point
B0030,Romeville
B0030,Garyville
B0030,St. James
B0030,Edgard
B0030,Convent
B0030,Laplace
B0030,Welcome
B0030,Wallace
B0030,Hester
B0030,Paulina
B0030,Pleasure Bend
B0030,Union
B0030,North Vacherie
B0030,Lutcher
B0030,South Vacherie
B0030,Reserve
B0032,St. Gabriel
B0032,Rosedale
B0032,Port Allen
B0032,Addis
B0032,Erwinville
B0034,Crowley
B0034,Ville Platte
B0034,Egan
B0034,Reddell
B0034,Rayne
B0034,Branch
B0035,Amite City
B0035,Kentwood
B0038,Abbeville
