Zone,TotalPop,Pct100Pov,PctMinority,PctHispanic,PctBlackNH,PctAPINH,PctRural
Statewide,4533372,20.05,39.67,4.25,31.82,1.56,26.81
A9001,53134,9.45,17.15,3.33,10.43,1.66,2.70
A9002,60820,16.22,52.19,23.99,22.76,3.70,0.00
A9003,61773,25.96,62.06,6.52,49.85,3.89,1.67
A9004,64602,25.04,54.58,1.92,48.87,1.67,9.86
A9005,56687,30.69,96.21,3.41,82.89,8.66,2.37
A9006,54925,14.48,39.38,4.51,32.90,0.65,17.71
A9007,59150,21.05,43.00,5.77,33.41,1.91,0.00
A9008,67011,15.88,21.98,3.25,15.47,0.73,68.13
A9009,59786,24.15,37.11,3.26,31.40,0.88,12.96
A9010,63250,17.08,33.99,3.59,26.13,2.20,0.25
A9011,59683,14.69,19.07,5.13,10.68,1.00,32.05
A9013,56934,13.91,30.10,7.16,18.35,1.88,23.33
A9014,54098,11.01,20.01,4.95,11.25,2.18,12.93
A9015,56023,19.88,64.83,4.61,56.62,1.82,0.00
A9016,77994,15.01,21.79,1.77,17.49,1.26,30.96
A9017,63020,28.11,56.95,1.72,53.34,0.33,30.69
A9018,56163,7.95,15.39,4.63,7.54,1.16,13.88
A9019,65788,18.59,59.04,12.71,38.14,6.00,0.00
A9020,65980,28.69,75.66,2.00,71.31,0.79,0.39
A9021,60074,13.08,29.61,14.38,9.77,3.76,0.00
A9022,63664,20.48,60.55,1.13,57.73,0.43,31.52
A9023,57615,30.80,71.88,6.37,62.74,0.66,0.00
A9024,56013,31.64,64.87,6.48,54.51,1.94,0.00
A9025,55764,21.71,36.81,4.43,28.93,1.33,8.29
A9026,62102,17.57,44.66,3.14,37.60,2.65,0.00
A9027,55059,19.79,29.03,2.60,16.17,1.14,35.13
A9028,60832,11.13,24.96,11.74,8.17,3.60,0.00
A9029,59992,12.47,9.59,3.25,4.46,0.54,13.00
A9030,62893,14.61,45.47,5.32,34.52,4.08,9.54
A9031,52290,8.39,18.43,4.87,10.82,1.34,8.49
A9033,68034,16.76,10.16,2.72,5.56,0.46,65.91
A9034,62719,18.49,40.96,2.32,35.88,1.04,27.18
A9035,62689,23.61,51.44,2.21,46.28,0.43,16.31
A9036,64680,15.72,28.75,3.07,20.89,2.33,10.56
A9037,59950,11.26,25.25,7.53,14.62,1.53,0.00
A9038,60045,17.79,31.39,4.91,22.98,1.59,25.30
A9039,62382,12.64,27.25,5.01,17.66,1.95,6.62
A9040,56801,20.81,33.61,5.27,21.38,0.95,6.58
A9041,62880,10.35,35.79,5.07,25.05,4.12,3.87
A9042,63315,17.12,52.52,10.16,35.83,4.25,6.18
A9043,58582,24.21,54.87,2.88,49.29,0.94,9.19
A9044,75726,34.37,59.62,1.82,55.86,0.64,17.22
A9045,58341,24.43,77.16,4.85,68.08,2.50,1.18
A9046,62111,26.75,90.42,2.61,86.11,0.64,0.01
A9048,63686,40.84,59.16,3.60,49.44,4.59,0.74
A9049,62835,10.73,35.46,5.02,25.56,3.16,2.06
B0002,52512,21.89,23.85,2.86,18.79,0.25,76.04
B0004,70063,28.14,41.22,2.32,37.63,0.32,67.26
B0010,63010,27.92,45.62,1.66,41.15,0.30,64.04
B0011,72238,13.09,11.89,2.40,7.04,0.50,40.56
B0013,58939,19.39,31.75,7.42,18.57,2.43,10.23
B0016,58694,17.91,44.77,1.62,41.80,0.24,83.61
B0019,58402,26.58,41.52,1.44,38.46,0.28,61.67
B0024,78071,20.66,40.17,4.38,31.71,1.30,22.63
B0026,50889,23.00,37.38,2.91,28.32,0.19,82.47
B0030,68026,17.93,57.59,3.57,52.26,0.54,18.08
B0032,57175,19.99,47.67,2.11,44.23,0.31,47.25
B0034,95757,23.40,25.20,1.92,21.62,0.27,55.03
B0035,72514,22.23,37.65,3.32,32.65,0.32,73.12
B0038,57999,17.35,20.16,2.38,14.22,1.99,54.62
B0043,73240,20.09,39.24,3.14,31.79,2.41,28.14
B0044,73302,25.24,36.36,1.23,32.87,0.27,60.31
B0047,68969,29.44,40.28,1.45,37.63,0.24,68.42
B0049,63009,30.85,42.39,2.22,37.60,1.32,47.10
B0051,93012,18.54,22.76,2.02,17.21,0.51,61.94
B0058,96318,15.32,22.05,3.79,13.16,0.76,24.22
B0059,52160,17.41,35.14,2.05,30.59,0.76,49.57
B0066,83384,28.02,44.80,1.58,41.13,0.38,48.17
B0067,102680,17.44,23.91,2.98,18.86,0.61,53.24
B0071,52334,13.96,27.78,7.21,13.91,2.15,49.90
B0072,52780,12.55,33.83,5.02,26.38,0.86,11.49
